File Name,RGE-343-DUT32-7dCO2_Nitrogen.DAT
Date of measurement,13/01/30
Time of measurement,39:37:15
COMMENT1,RGE-343_DUT-32-7d
COMMENT2,irena
COMMENT3,
COMMENT4,, Vacuum degree before measurement:1.060E-1Pa
Serial number,00218
Version,
Sample weight,1.8400E-02,[g]
Standard volume,27.698,[cm^3]
Dead volume,25.013,[cm^3]
Equilibrium time,0,[SEC]
Adsorptive,N2
Apparatus temperature,0.0000,[C]
Adsorption temperature,77.000,[K]
Saturated vapor pressure,101.33,[kPa]
Adsorptive cross section area,0.1620,[nm^2]
File name of wall adsorption,
Wall adsorption correction value1,
Wall adsorption correction value2,
Number of adsorption data point :,293
Number of desorption data point :,4

No,pi/kPa,pe/kPa,pe2/kPa,p0/kPa,p/p0,Va/cm^3(STP) g^-1
ADS
171,0.0000,13.170,0.0000,101.33,0.1300,1466.0
172,0.0000,13.402,0.0000,101.33,0.1323,1476.0
173,0.0000,13.577,0.0000,101.33,0.1340,1483.1
174,0.0000,13.792,0.0000,101.33,0.1361,1493.7
175,0.0000,14.019,0.0000,101.33,0.1383,1504.0
176,0.0000,14.218,0.0000,101.33,0.1403,1514.8
177,0.0000,14.433,0.0000,101.33,0.1424,1526.0
178,0.0000,14.701,0.0000,101.33,0.1451,1539.6
179,0.0000,14.876,0.0000,101.33,0.1468,1546.8
180,0.0000,15.112,0.0000,101.33,0.1491,1558.3
181,0.0000,15.355,0.0000,101.33,0.1515,1569.1
182,0.0000,15.635,0.0000,101.33,0.1543,1581.6
183,0.0000,15.855,0.0000,101.33,0.1565,1591.7
184,0.0000,16.062,0.0000,101.33,0.1585,1602.8
185,0.0000,16.306,0.0000,101.33,0.1609,1614.0
186,0.0000,16.574,0.0000,101.33,0.1636,1629.3
187,0.0000,16.821,0.0000,101.33,0.1660,1645.1
188,0.0000,17.118,0.0000,101.33,0.1689,1662.4
189,0.0000,17.382,0.0000,101.33,0.1715,1675.4
190,0.0000,17.650,0.0000,101.33,0.1742,1685.5
191,0.0000,17.877,0.0000,101.33,0.1764,1692.6
192,0.0000,18.190,0.0000,101.33,0.1795,1701.1
193,0.0000,18.450,0.0000,101.33,0.1821,1708.2
194,0.0000,18.775,0.0000,101.33,0.1853,1716.7
195,0.0000,19.014,0.0000,101.33,0.1876,1723.8
196,0.0000,19.351,0.0000,101.33,0.1910,1733.9
197,0.0000,19.664,0.0000,101.33,0.1941,1745.0
198,0.0000,19.956,0.0000,101.33,0.1969,1761.1
199,0.0000,20.228,0.0000,101.33,0.1996,1797.0
200,0.0000,20.541,0.0000,101.33,0.2027,1852.6
201,0.0000,20.890,0.0000,101.33,0.2062,1899.2
202,0.0000,21.215,0.0000,101.33,0.2094,1919.2
203,0.0000,21.532,0.0000,101.33,0.2125,1927.6
204,0.0000,21.930,0.0000,101.33,0.2164,1932.9
205,0.0000,22.214,0.0000,101.33,0.2192,1935.5
206,0.0000,22.555,0.0000,101.33,0.2226,1937.7
207,0.0000,22.913,0.0000,101.33,0.2261,1940.2
208,0.0000,23.262,0.0000,101.33,0.2296,1942.6
209,0.0000,23.623,0.0000,101.33,0.2331,1945.0
210,0.0000,24.021,0.0000,101.33,0.2371,1947.0
211,0.0000,24.375,0.0000,101.33,0.2406,1949.2
212,0.0000,24.756,0.0000,101.33,0.2443,1951.1
213,0.0000,25.122,0.0000,101.33,0.2479,1953.5
214,0.0000,25.512,0.0000,101.33,0.2518,1955.8
215,0.0000,25.910,0.0000,101.33,0.2557,1958.0
216,0.0000,26.324,0.0000,101.33,0.2598,1960.0
217,0.0000,26.738,0.0000,101.33,0.2639,1961.7
218,0.0000,27.140,0.0000,101.33,0.2678,1963.9
219,0.0000,27.575,0.0000,101.33,0.2721,1965.5
220,0.0000,27.989,0.0000,101.33,0.2762,1967.3
221,0.0000,28.428,0.0000,101.33,0.2805,1969.2
222,0.0000,28.850,0.0000,101.33,0.2847,1971.2
223,0.0000,29.313,0.0000,101.33,0.2893,1973.0
224,0.0000,29.768,0.0000,101.33,0.2938,1974.9
225,0.0000,30.218,0.0000,101.33,0.2982,1976.8
226,0.0000,30.702,0.0000,101.33,0.3030,1978.4
227,0.0000,31.173,0.0000,101.33,0.3076,1980.4
228,0.0000,31.664,0.0000,101.33,0.3125,1982.2
229,0.0000,32.156,0.0000,101.33,0.3173,1983.9
230,0.0000,32.635,0.0000,101.33,0.3221,1985.8
231,0.0000,33.142,0.0000,101.33,0.3271,1987.6
232,0.0000,33.654,0.0000,101.33,0.3321,1989.1
233,0.0000,34.162,0.0000,101.33,0.3371,1990.7
234,0.0000,34.698,0.0000,101.33,0.3424,1992.2
235,0.0000,35.242,0.0000,101.33,0.3478,1994.0
236,0.0000,35.786,0.0000,101.33,0.3532,1995.7
237,0.0000,36.355,0.0000,101.33,0.3588,1997.1
238,0.0000,36.903,0.0000,101.33,0.3642,1998.9
239,0.0000,37.471,0.0000,101.33,0.3698,2000.3
240,0.0000,38.044,0.0000,101.33,0.3754,2002.0
241,0.0000,38.645,0.0000,101.33,0.3814,2003.6
242,0.0000,39.250,0.0000,101.33,0.3873,2005.0
243,0.0000,39.847,0.0000,101.33,0.3932,2006.6
244,0.0000,40.476,0.0000,101.33,0.3994,2008.2
245,0.0000,41.098,0.0000,101.33,0.4056,2010.0
246,0.0000,41.752,0.0000,101.33,0.4120,2011.3
247,0.0000,42.377,0.0000,101.33,0.4182,2012.8
248,0.0000,43.031,0.0000,101.33,0.4247,2014.2
249,0.0000,43.717,0.0000,101.33,0.4314,2015.4
250,0.0000,44.387,0.0000,101.33,0.4380,2017.0
